sngplt_rowlet,1,2,3,4,5,6,7,8,9,10,11,12
A,M021-M041_A3,M021-M041_A7,M021-M041_B4,M021-M041_C2,M021-M041_D4,M021-M041_D5,M021-M041_D7,M021-M041_D8,M021-M041_E2,M021-M041_E3,M021-M041_F9,M021-M041_G1
B,M021-M041_G9,M021-M041_H1,M021-M041_H2,M021-M041_H3,M021-M041_H5,M021-M041_H6,M042-M062_plate_1_A3,M042-M062_plate_1_B1,M042-M062_plate_1_B10,M042-M062_plate_1_B11,M042-M062_plate_1_B8,M042-M062_plate_1_D12
C,M042-M062_plate_1_E1,M042-M062_plate_1_E6,M042-M062_plate_1_F10,M042-M062_plate_1_F6,M042-M062_plate_1_G1,M042-M062_plate_1_G10,M042-M062_plate_1_G11,M042-M062_plate_1_G3,M042-M062_plate_1_G8,M042-M062_plate_1_G9,M042-M062_plate_1_H1,M042-M062_plate_1_H2
D,M042-M062_plate_1_H9,M042-M062_plate_2_A1,M042-M062_plate_2_A11,M042-M062_plate_2_A6,M042-M062_plate_2_A7,M042-M062_plate_2_B1,M042-M062_plate_2_B3,M042-M062_plate_2_C10,M042-M062_plate_2_C5,M042-M062_plate_2_C7,M042-M062_plate_2_D2,M042-M062_plate_2_D3
E,M042-M062_plate_2_D9,M042-M062_plate_2_E8,M042-M062_plate_2_F4,M042-M062_plate_2_F9,M042-M062_plate_2_G10,M042-M062_plate_2_G3,M042-M062_plate_2_H11,M042-M062_plate_2_H2,M063-M084_A4,M063-M084_A5,M063-M084_B3,M063-M084_B4
F,M063-M084_C4,M063-M084_E3,M063-M084_F3,M063-M084_F6,M124-M143_A3,M124-M143_A5,M124-M143_B4,M124-M143_C10,M124-M143_C9,M124-M143_D10,M124-M143_E10,M124-M143_E4
G,M124-M143_E7,M124-M143_F5,M124-M143_F7,M124-M143_G4,M124-M143_G8,M124-M143_H6,M144-M163_A3,M144-M163_A7,M144-M163_B5,M144-M163_C4,M144-M163_C6,M144-M163_D7
H,M144-M163_E3,M144-M163_E8,M144-M163_F5,M144-M163_G2,M144-M163_G7,M144-M163_H6,M164-M183_B2,M164-M183_C1,M164-M183_C3,M164-M183_E1,M164-M183_E4,PC
